"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 1.3 GHz","1.3 GHz","79","0","DL7YS","JO62NM","2604","16","2425","15","","6,9 %","0","0,0 %","20,0 %","0,0 %","DR2Q","278","0","PWR(W): 80","TRX:","Ant: 44 Ele LY","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","80","0","DK3WG","JO72GI","2862","11","2353","10","","17,8 %","0","0,0 %","40,0 %","0,0 %","OM3KII","449","0","PWR(W): 400","TRX:","Ant: 3m-Dish","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","81","0","SP6CPF","JO71PD","3413","14","2299","11","","32,6 %","1","4,3 %","72,7 %","0,0 %","DJ3AK","356","0","PWR(W): 10","TRX:","Ant: 49 elY","ASL(m): 200","",
"SO 1.3 GHz","1.3 GHz","82","0","IN3XSV","JN55PU","2221","11","2221","11","","0,0 %","0","0,0 %","9,1 %","0,0 %","IK7JNM","795","0","PWR(W): 10","TRX: icom9700","Ant: 23 elementi antennas","ASL(m): 1900","",
"SO 1.3 GHz","1.3 GHz","83","0","IK1YEZ","JN44DO","2186","12","2186","12","","0,0 %","0","0,0 %","0,0 %","0,0 %","I4CIV","344","0","PWR(W): 150","TRX: Kenwood ts790","Ant: 35 El Yagi","ASL(m): 900","",
"SO 1.3 GHz","1.3 GHz","84","0","9A4OP","JN75UR","2809","17","2160","15","","23,1 %","1","5,5 %","0,0 %","0,0 %","YU1LA","389","0","PWR(W): 20","TRX: FT-290R2 + trans","Ant: loopyagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","85","0","IZ5YBK","JN53NS","2114","10","2114","10","","0,0 %","0","0,0 %","0,0 %","0,0 %","IT9DJF","635","0","PWR(W): 10","TRX: IC 9700","Ant: YAGI 35","ASL(m): 205","",
"SO 1.3 GHz","1.3 GHz","86","0","IZ0MJE","JN61FU","2050","6","2050","6","","0,0 %","0","0,0 %","0,0 %","0,0 %","IQ1KW","527","0","PWR(W): 90","TRX:","Ant: 2x35 Yagi","ASL(m): 100","",
"SO 1.3 GHz","1.3 GHz","87","0","DH1DM","JO61TB","2015","10","2015","10","","0,0 %","0","0,0 %","40,0 %","0,0 %","OM5AW","441","0","PWR(W): 50","TRX:","Ant: 15 El. Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","88","0","DJ7JM","JN48RR","1987","5","1987","5","","0,0 %","0","0,0 %","60,0 %","0,0 %","OL9W","643","0","PWR(W): 80","TRX:","Ant: SHF-9644","ASL(m):","",
