"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 1.3 GHz","1.3 GHz","71","0","DL9AAA/P","JN57PO","4043","35","3890","33","","3,8 %","2","3,0 %","6,1 %","0,0 %","DK0NA","307","0","PWR(W): 10","TRX:","Ant: 16 Element Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","72","0","OK1IEI","JO70EC","3857","33","3857","33","","0,0 %","0","0,0 %","0,0 %","0,0 %","OM6A","338","0","PWR(W): 100","TRX: IC9700","Ant: F9FT","ASL(m): 380","",
"SO 1.3 GHz","1.3 GHz","73","0","DD5DX","JO61CA","3830","27","3830","27","","0,0 %","0","0,0 %","0,0 %","0,0 %","OL9W","460","0","PWR(W): 10","TRX:","Ant: 22ele","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","74","0","OK1DCS","JN78GW","4747","20","3741","17","","21,2 %","1","0,4 %","70,6 %","0,0 %","YP2DX","583","0","PWR(W): 80","TRX: IC 9700","Ant: Dish 1,4m","ASL(m): 544","",
"SO 1.3 GHz","1.3 GHz","75","0","IW3ROW","JN65VP","4342","15","3735","13","","14,0 %","0","0,0 %","0,0 %","0,0 %","OL9W","540","0","PWR(W): 100","TRX:","Ant: 1.9m dish","ASL(m): 70","",
"SO 1.3 GHz","1.3 GHz","76","0","DF8V","JN39LH","5471","22","3732","16","","31,8 %","0","0,0 %","43,8 %","0,0 %","G4ZTR","519","0","PWR(W): 500","TRX:","Ant: 2 x 26 ele Flexayagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","77","0","DF2CD","JN48XK","4381","23","3729","22","","14,9 %","0","0,0 %","0,0 %","0,0 %","OM3KII","572","0","PWR(W): 200","TRX:","Ant: 40 El. Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","78","0","IV3AOL","JN65VP","3562","22","3562","22","","0,0 %","0","0,0 %","4,5 %","0,0 %","IQ1KW","529","0","PWR(W): 25","TRX: YAESU FT-817+transv SG-LAB 23 cm+LA SG-LAB","Ant: 36 elementi I0JXX","ASL(m): 170","",
"SO 1.3 GHz","1.3 GHz","79","0","SP6GWB","JO80JG","4129","19","3369","16","","18,4 %","0","0,0 %","62,5 %","0,0 %","IK3GHY","626","0","PWR(W): 250","TRX:","Ant: 1.24 m dish","ASL(m): 1130","",
"SO 1.3 GHz","1.3 GHz","80","0","DG0PF","JO50LQ","3806","17","3313","15","","13,0 %","0","0,0 %","0,0 %","0,0 %","OM5AW","576","0","PWR(W): 10","TRX:","Ant: Dish 1 m","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","81","0","DM8AK","JN57WS","3419","26","3168","25","","7,3 %","0","0,0 %","0,0 %","0,0 %","OM3KII","448","0","PWR(W): 25","TRX:","Ant: Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","81","0","OK1DGR","JO60XE","3168","27","3168","27","","0,0 %","0","0,0 %","25,9 %","0,0 %","OM6A","369","0","PWR(W): 2,5","TRX: FT817 + TRV","Ant: Yagi 15 el.","ASL(m): 395","",
"SO 1.3 GHz","1.3 GHz","83","0","I2SVA","JN45NT","3066","15","3066","15","","0,0 %","0","0,0 %","26,7 %","0,0 %","S59DGO","415","0","PWR(W): 90","TRX:","Ant: yu1ef 43el","ASL(m): 600","",
"SO 1.3 GHz","1.3 GHz","84","0","DH2UAK","JO71FU","3009","16","3009","16","","0,0 %","0","0,0 %","0,0 %","0,0 %","OM3KII","406","0","PWR(W): 100","TRX:","Ant: 2x67el","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","85","0","DL2HTI","JO61BB","3062","26","2938","25","","4,0 %","0","0,0 %","28,0 %","0,0 %","OL9W","467","0","PWR(W): 10","TRX:","Ant: 4 x YAGI 23 Elemente","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","86","0","DL6GCK","JN47OR","2910","12","2910","12","","0,0 %","0","0,0 %","0,0 %","0,0 %","DM5D","474","0","PWR(W): 15","TRX:","Ant: 55-element Yagi","ASL(m): 456","",
"SO 1.3 GHz","1.3 GHz","87","0","OK1JFP","JO60XS","2956","28","2848","27","","3,7 %","0","0,0 %","14,8 %","0,0 %","OL9W","336","0","PWR(W): 10","TRX: TS-790E","Ant: SBF by ok2ji","ASL(m): 690","",
